,SQLDATE,Actor1Name,SOURCEURL,MonthYear,EventRootCode,GoldsteinScale,NumMentions,AvgTone,ActionGeo_CountryCode,ActionGeo_Lat,ActionGeo_Long
33,20160328,SPOKESMAN,http://www.huewire.com/miscellaneous/dutch-police-arrest-frenchman-amid-planned-terror-attack-probe/134690/,201603,01,-0.1,9,-8.40909970022243,FR,48.8667,2.33333
34,20160225,STUDENT,http://www.dailystar.co.uk/news/latest-news/497088/Students-sex-prostitution-money-rise-UK,201602,01,-0.4000000059604645,3,-0.3571428656578064,FR,48.8667,2.33333
35,20160317,FRANCE,http://www.cruxnow.com/church/2016/03/15/french-cardinal-accused-of-cover-up-in-widening-abuse-scandal/,201603,01,-0.1,3,-10.2564102564103,FR,48.8667,2.33333
36,20160504,CHIEF EXECUTIVE,http://www.ftadviser.com/2016/05/04/investments/wraps-and-platforms/conway-says-standard-life-elevate-deal-marks-tied-s-return-BNHywYPc9t2AmM5W3vzuhK/article.html,201605,16,-8.0,3,0.21739130434782,FR,48.8667,2.33333
37,20160324,TERRORIST,http://mic.com/articles/138742/anonymous-threatens-isis-again-following-brussels-terror-attacks,201603,01,-0.1,5,-7.5609756097561,FR,48.8667,2.33333
38,20160403,POLITICAL PARTIES,https://www.yahoo.com/news/niger-votes-presidential-run-off-amid-opposition-boycott-083019861--sector.html,201604,13,-5.8,1,-4.36781609195402,FR,48.8667,2.33333
39,20160326,FRANCE,http://www.clitheroeadvertiser.co.uk/what-s-on/tv-cinema/my-big-fat-greek-wedding-2-goes-through-the-motions-1-7816519,201603,03,4.5,4,-4.08163265306123,FR,48.8667,2.33333
40,20160208,FRANCE,https://www.equities.com/news/four-companies-helping-put-california-olive-oil-on-the-map,201602,04,2.799999952316284,10,1.5665795803070068,FR,48.8667,2.33333
41,20160224,FRANCE,https://www.rt.com/news/333506-france-secret-war-libya/,201602,15,-7.2,20,-5.23100958659721,FR,48.8667,2.33333
42,20160227,PARIS,http://cnbcafrica.com/news/western-africa/2014/05/19/us-reaches-agreement-with-nigeria-on-intelligence-sharing-(2)/,201602,04,2.799999952316284,3,3.2110092639923096,FR,48.8667,2.33333
43,20160310,CANADA,http://news.trust.org/item/20160310122132-wu8s9,201603,03,4.5,2,1.8561778778497,FR,48.8667,2.33333
44,20160410,FRENCH,http://hosted.ap.org/dynamic/stories/E/EU_OFFSHORE_ACCOUNTS_INVESTIGATION?SITE=AP&SECTION=HOME&TEMPLATE=DEFAULT&CTIME=2016-04-10-15-53-47,201604,16,-8.0,96,-2.21782522479231,FR,48.8667,2.33333
45,20160324,AUTHORITIES,http://wcfcourier.com/news/world/europe/questions-grow-about-why-authorities-couldn-t-stop-attacks/article_62ccfbd1-cf15-5d50-a109-782b573ddef1.html,201603,08,9.0,70,-5.79114348272934,FR,48.8667,2.33333
46,20160430,ASTRAZENECA,http://www.iii.co.uk/news-opinion/reuters/news/312898,201604,01,-0.1,2,-1.2987012987013,FR,48.8667,2.33333
47,20160402,FRENCH,http://www.inform.kz/eng/article/2888235,201604,16,-8.0,2,-5.70175438596491,FR,48.8667,2.33333
48,20160327,FRENCH,http://www.wandtv.com/story/31553706/the-latest-lithuania-slams-europe-for-naivety-facing-terror,201603,07,8.3,18,-6.84780727350365,FR,48.8667,2.33333
49,20160226,FRANCE,http://cineuropa.org/it.aspx?t=interview&l=en&did=305774,201602,05,3.4000000953674316,3,5.9782609939575195,FR,48.8667,2.33333
50,20160219,BRETON,"http://encyclopedia.tfd.com/Breton,+Andr%C3%A9",201602,04,1.899999976158142,2,-1.9685039520263672,FR,48.8667,2.33333
51,20160219,FRENCH,http://www.unisdr.org/archive/47906,201602,04,2.799999952316284,2,2.494331121444702,FR,48.8667,2.33333
52,20160209,PARIS,http://www.newageislam.com/islam-and-the-west/raghida-dergham/the-goals-of-washington-and-moscow-in-the-syrian-war/d/106281,201602,04,2.799999952316284,2,-1.8245004415512085,FR,48.8667,2.33333
53,20160424,JAPAN,http://www.business-standard.com/article/news-ians/g7-agree-on-cooperation-to-prevent-animal-diseases-116042400145_1.html,201604,04,2.5,18,-0.144927989488738,FR,46.0,2.0
54,20160302,RUSSIA,http://www.voanews.com/content/minsk-deal-legitimizes-ugly-facts-russia-ukraine/3216861.html,201603,04,2.5,8,-2.73775216138329,FR,48.8667,2.33333
55,20160411,PARIS,http://www.cbc.ca/news/world/modigliani-masterpiece-seized-panama-papers-1.3529856,201604,14,-7.5,2,0.0,FR,48.8667,2.33333
56,20160420,BRITAIN,http://www.thelocal.fr/20160420/marine-le-pen-to-head-to-uk-to-push-for-brexit,201604,08,10.0,5,0.37453183520599,FR,48.8667,2.33333
57,20160218,FRENCH,http://www.wirralglobe.co.uk/news/national/14287693.display/,201602,17,-9.2,2,-2.01834862385321,FR,46.0,2.0
58,20160227,FRENCH,http://lethbridgeherald.com/entertainment/entertainment-news/2016/02/27/frances-film-industry-honours-oscar-contender-mustang/,201602,05,3.4000000953674316,1,5.769230842590332,FR,48.8667,2.33333
59,20160216,FRANCE,http://bsccomment.com/2016/02/16/russia-denies-its-warplanes-hit-syria-hospital.html,201602,02,-0.3,2,-6.51911017774029,FR,46.0,2.0
60,20160227,,http://www.theargus.co.uk/news/14306714.Jungle_camp_experiences_conveyed_in_art/,201602,04,1.899999976158142,20,1.574803113937378,FR,46.0,2.0
61,20160225,BRITAIN,http://investmentwatchblog.com/crash2-when-everyone-feels-they-have-to-lie-then-you-know-its-a-war/,201602,05,3.4000000953674316,2,-6.790123462677002,FR,46.0,2.0
62,20160317,UNITED STATES,http://cinemablaze.com/2016/03/17/body-of-missing-woman-found.html,201603,08,10.0,2,0.0,FR,46.0,2.0
63,20160318,FRANCE,https://www.rt.com/shows/sophieco/336066-nato-role-russia-europe/,201603,07,8.3,1,-1.6347237880496,FR,46.0,2.0
64,20160331,FRENCH,http://www.dailystar.com.lb//News/World/2016/Mar-31/344977-french-protesters-clash-with-police-over-labor-reforms.ashx,201603,14,-7.5,6,-4.09836065573771,FR,46.0,2.0
65,20160225,FRENCH,http://news.am/eng/news/313678.html,201602,07,7.400000095367432,6,0.0,FR,46.0,2.0
66,20160322,FRANCE,http://www.huewire.com/headlines/native-american/travel-options-shut-down-after-brussels-attacks/128153/,201603,15,-7.2,10,-5.76441102756892,FR,46.0,2.0
67,20160219,VLADIMIR PUTIN,http://www.politico.eu/article/le-pen-russia-crimea-putin-money-bank-national-front-seeks-russian-cash-for-election-fight/,201602,05,3.4000000953674316,5,-1.1111111640930176,FR,46.0,2.0
68,20160429,FRANCE,http://www.arsenalnews.co.uk/arsene-wenger-calls-for-arsenal-fans-to-be-more-like-liverpool/,201604,02,3.2,4,3.6144578313253,FR,46.0,2.0
